ID,COMUNE,PRO_COM
84,Bobbio,33005
85,Ottone,33030
86,Piacenza,33032
87,Rivergaro,33038
88,San Giorgio Piacentino,33040
89,San Giorgio Piacentino,33040
90,Bagnacavallo,39002
91,Bagnacavallo,39002
92,Brisighella,39004
93,Castel Bolognese,39006
94,Faenza,39010
95,Faenza,39010
96,Faenza,39010
97,Massalombarda,39013
98,Ravenna,39014
99,Castelnvovo ne’ Monti ,35016
100,Correggio,35020
101,Gattatico,35022
103,Reggio Emilia,35033
104,Scandiano,35040
105,Coriano,99003
106,Novafeltria,99023
107,Verucchio,99020
1,Cormons,31002
2,Gorizia ,31007
3,Gorizia ,31007
4,Gorizia ,31007
5,Gorizia ,31007
6,Gorizia ,31007
7,Gorizia ,31007
8,Gorizia ,31007
9,Gradisca d'Isonzo,31008
10,Gradisca d'Isonzo,31008
11,Mossa,31014
12,Ronchi dei Legionari,31016
13,Savogna d'Isonzo,31022
14,Staranzano,31023
15,Aviano,93004
16,Aviano,93004
17,Barcis,93006
18,Caneva,93009
19,Caneva,93009
20,Caneva ,93009
21,Claut,93015
22,Claut,93015
23,Claut,93015
24,Claut,93015
25,Claut,93015
26,Fiume Veneto ,93005
27,Maniago,93025
28,Maniago,93025
29,Porcia,93032
30,Porcia,93032
31,Porcia,93032
32,Sequals,93042
33,Duino - Aurisina,32001
34,Duino - Aurisina,32001
35,Muggia,32003
36,Trieste ,32006
37,Trieste ,32006
38,Trieste ,32006
39,Trieste ,32002
40,Trieste ,32006
41,Trieste ,32006
42,Trieste ,32006
43,Trieste ,32006
44,Trieste ,32006
45,Trieste ,32006
46,Trieste ,32006
47,Trieste ,32006
48,Trieste,32004
49,Trieste,32004
50,Trieste,32006
51,Ampezzo,30003
52,Attimis,30007
53,Attimis ,30007
54,Attimis,30007
55,Attimis,30007
56,Basiliano,30009
57,Basiliano,30009
58,Basiliano,30009
59,Basiliano,30009
60,Bertiolo,30010
61,Cividale,30026
62,Cividale ,30026
63,Cividale,30026
64,Cividale,30026
65,Codroipo,30027
66,Codroipo,30027
67,Codroipo,30027
68,Codroipo,30027
69,Codroipo,30027
70,Codroipo,30027
71,Codroipo,30027
72,Codroipo,30027
73,Codroipo,30027
74,Codroipo,30027
75,Codroipo,30027
76,Enemonzo,30035
77,Lignano Sabbiadoro,30049
78,Lignano Sabbiadoro,30049
79,Malborghetto,30054
80,Moruzzo,30063
81,Moruzzo,30063
82,Moruzzo,30063
83,Paluzza,21047
84,Paularo,30073
85,Paularo ,30073
86,Pontebba,30076
87,Pontebba,30076
88,Pontebba,30076
89,Premariacco,30083
90,Premariacco,30083
91,Premariacco,30083
92,Premariacco,30083
93,Pulfero ,30086
94,Pulfero ,30086
95,Raveo,30089
96,San Leonardo,30102
97,San Leonardo,30103
98,Savogna,30108
99,Talmassons,30114
100,Tarcento,30116
101,Tarcento,30116
102,Tarvisio,30117
103,Tarvisio,30117
104,Tarvisio,30117
105,Tarvisio,30117
106,Tarvisio,30117
107,Tarvisio,30117
108,Tarvisio,30117
109,Tarvisio,30117
110,Tarvisio,30117
111,Tarvisio,30117
112,Tarvisio,30117
113,Tarvisio,30117
114,Tarvisio,30117
115,Tricesimo,30127
116,Tricesimo,30127
117,Tricesimo,30127
118,Tricesimo,30127
119,Tricesimo,30127
120,Udine,30129
121,Udine,30129
122,Udine,30129
123,Udine,30129
124,Udine,30129
125,Udine,30129
126,Udine,30129
127,Udine,30129
128,Udine,30129
129,Udine,30129
130,Udine,30129
131,Udine,30129
132,Udine,30129
133,Udine,30129
134,Udine,30129
135,Udine,30129
136,Udine,30072
137,Udine,30129
138,Udine ,30129
139,Varmo,30130
1,Alatri,60003
2,Cassino,60019
3,Patrica,60048
4,Patrica,60048
5,Patrica,60048
6,Patrica,60048
7,Settefrati,60072
8,Bassiano,59002
9,Campodimele,59003
10,Monte San Biagio,59015
11,Monte San Biagio,59015
12,Amatrice,57002
13,Amatrice,57002
14,Amatrice,57002
15,Amatrice,57002
16,Amatrice,57002
17,Amatrice,57002
18,Amatrice,57002
19,Fiamignano,57028
20,Fiamignano,57028
21,Marcetelli,57036
22,Pescorocchiano ,57007
23,Rivodutri,57060
24,Roma,58091
25,Roma,58091
26,Roma,58091
27,Roma,58091
28,Roma,58091
30,Roma,58091
31,Roma,58091
32,Roma,58091
33,Roma,58091
34,Roma,58091
35,Roma,58091
36,Roma,58091
37,Roma,58091
38,Roma,58091
39,Roma,58091
40,Roma,58091
41,Roma,58091
42,Roma,58091
43,Roma,58091
44,Acquapendente ,56047
45,Acquapendente ,56001
46,Acquapendente ,56001
47,Acquapendente ,56001
48,Acquapendente ,56001
49,Acquapendente ,56047
50,Acquapendente ,56001
51,Acquapendente ,56001
52,Acquapendente ,56001
53,Acquapendente ,56001
54,Acquapendente ,56001
55,Acquapendente ,56001
56,Acquapendente ,56001
57,Acquapendente ,56001
58,Blera,56007
59,Civitella d'Agliano,56022
60,Civitella d'Agliano,56022
61,Valentano,53019
62,Vallerano ,56054
1,Arenzano,10001
2,Arenzano,10001
3,Arenzano,10001
4,Borzonasca,10048
5,Borzonasca,10005
6,Casella,10012
7,Genova,10025
8,Genova,10025
9,Genova,10025
10,Genova ,10025
11,Genova ,10025
12,Ne,10040
13,Rapallo,10046
14,Rapallo,10046
15,Rapallo,10046
16,Rapallo,10046
17,Rapallo,10046
18,Rapallo,10046
19,Santo Stefano d'Aveto,10056
20,Tiglieto,10061
21,Tiglieto,10061
22,Vobbia,10066
23,Bordighera,8008
24,Bordighera,8008
25,Bordighera,8008
26,Bordighera,8008
27,Bordighera,8008
